Business_ID,Cuisine
5wm-lMz4NP4atf6zAjGf1g,vietnamese
32VbG_XgkZIuye0PV-BxaA,pizza
LOeDR4X-YRToeo3hy_plew,brunch
7nw-GBLqZ9f_FTsa3AYhDA,italian
DLnn2qw-KJAmazB-hMmSEw,brunch
RQi2YmAkk8g9WdNStAhfbQ,seafood
aThptXSMEo3g2a1KAuu4jg,pizza
_3BcKf4Y5LMl0haXS2oKDA,healthy
GazJ5_JArwtAacygzxqDIQ,korean
6BZl-fakfZsFbAwJM7DeDA,korean
H_KyiRhwho8rdlw_R93_0Q,italian
y1IHn90Gt3gRB0AxotPjqw,chinese
mTWlEiCUEBlxBAkIikkB1A,italian
B6bEkY9sJ_GU2pD2Rwb4gg,mexican
o21M4dKM4KQbzGVrlq_3Iw,indian
IdhVvm_zNXhdd8dqcYHsHg,healthy
croh2zWlbPyCQTNS11klcg,chinese
Kyx9QFPJUzlC7dmM8SE1bw,thai
UU-VNxsgJ3BWgpVQbUChig,italian
WpfuHkTsiRN2EerQ8ZaG4g,vietnamese
kO9i3CgTgKys8WDlCOUyGQ,vietnamese
xGoSAOhQBNdJMJmPn7CMDQ,mexican
d8zSYpArh4oXpxeJWNA4Pg,healthy
tCuPhpmf1PaYe5dmwdq8Ew,mexican
xOL2SC34gdhKHSbyaDz9BA,chinese
jjJc_CrkB2HodEinB6cWww,chinese
ZXGWcp5XvjVpQDJNQ2jDIA,dessert
fNU4Mf7c--x71glNT9PHug,healthy
jAaVnUKLITkuhzwXIe0vLQ,brunch
ayOj0JXAsuGqVG8reuqpxQ,american
oJ_XSPZFpvIt6rvheSQl7A,pizza
DjESoX8pr203rbvJru4VCQ,korean
oNN202L_XcNM-tuDHlgkfg,thai
BKMCAYb9EAivUm3p-vrC9w,thai
R6cdgEFQwu0vDllP5tEWUQ,mexican
SX6WD9yIj3jG6HlyzdYzRQ,chinese
uxjcn3_cQbk9DbEA3kiY0g,dessert
mmAlHhnTDXIohPC3wfl0hQ,mexican
x52B25Yb8yTCqP4RTYqDAQ,dessert
_tHF8-3rbyMesgdkQzB2yQ,dessert
t0Bel7xLMUt5g8qIpBylZg,pizza
ADHX7nBixDPVlq3OXhny0g,italian
Pfjb9Rn5Th7R-pLXVARwlA,korean
2LcsDUTlvovnFz-SEcSJTQ,seafood
k2sHdf6WeY22pK3hs6mtqA,seafood
CEXwbWiW6owH5OUpXcv8JQ,dessert
Lu12ks-BgqfGY75Sb1004A,italian
JFw_Zj4CFTJbTPKJdPQ_Gw,pizza
l4fwf8VwAokv3MWT45Ab7g,healthy
Ck4qyOc_m6uxz0uC3l-NTA,mexican
TGq6hVDv7ll9ZKQJiXMjcA,brunch
NaHrYSAalDJrvRWeA-NXvA,pizza
K4eXKHHG-ycydt7jeZTqSw,mexican
Bwj7nzWphGV6FaZ_ygTSOg,chinese
wKku3dhD7ZUT1eGQxfY7uA,pizza
1TLoaB7SXJZo3W5f4OGm8w,healthy
hGo9KArKThuOKxNbwmNpoA,american
orvnuNWLuoE3-iEx4Aj8eA,pizza
RBjVu2fFv9NPkV8XD9R9yw,thai
BPyt7S9TdcR1u571iacg7g,indian
apwWbt1IpyGh2ifEtwCuBw,dessert
NRJq2BNcbjqAyxUB_bw7gw,japanese
KSleHGTG1yL1E7OEFFPoNQ,chinese
jW22gmsZjh5hFJsC1qUDOA,american
rPKXTHDgtGI4XEo2HuVpow,seafood
7Bb_IDWV_zJqpBjAvxuBIA,american
i17F-oe6I_VucAkB-ZYlNw,korean
zSCp9pjEQ_M3LBuPRDo-Bg,indian
4LoroCI3VtQ17dyQa75-Rg,brunch
MOwB9YYd-Ko6nVgSB-ltQw,italian
AYBRN8pKB8_ZfcCks17OmQ,pizza
aSDGr4NIfm1C6IspWSNaQw,dessert
dsPxJP41Y2yRJfOcfgV8_A,korean
cwCOymiUPoB10Q-gtd6sWg,mexican
u8mQ5BU8dKL5zuSv3_ZzJg,healthy
Py_oBQpNR8kMI3GbH-71Yg,american
iF1wqaFU-JgElX1lCGda6A,vietnamese
lpLd3AFaMOV7LfPtvUiq8A,chinese
TybGiZNOipp1R1-u2k3ogA,italian
EPHhPGDFvnq2ARTBxAikuw,indian
NZ0zBJ60QNrol6nUeAnLgw,vietnamese
an8TuHRg0e3cgiAE705ZDA,pizza
foRWizWrQ32g6Vv4g9UTnA,italian
mVaslo987DCd3YC_0FtWxA,mexican
et9pAFtSvNOct9Qcmtcf7g,japanese
zV1_EFMN4VY7Rxpv7P-ajg,brunch
5EQOEAkH2Qh3Rv1TcnE7yA,italian
xFefCWC6Ng1OHBMXHzbfrQ,dessert
1uuxUq-QrUYX-Zal9TvFFQ,chinese
ipv4lBvbfVzCnSahqrJckQ,chinese
AKHA6ZU8uM3vmLwH2hqH_A,brunch
